Id_block,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
21,0.6415469757075526,0.3969694730737541,0.5572009226609272,0.0,0.0,0.07233333333333333,0.0,0.0,0.06,0.15554759880514915,0.5912265317596809
22,0.6130960614661002,0.44553259167453,0.568814134409988,0.09885714285714285,0.12270930325858134,0.04857142857142858,0.142092588399964,0.08485714285714285,0.09271428571428572,0.26598534948967506,0.3423710982379216
23,0.6937059690545394,0.4766582768182541,0.62632297252474,0.02514285714285714,0.0,0.03342857142857143,0.2010383671461397,0.0,0.077,0.42651247113257723,0.26785714285714285
24,0.7686840775481539,0.5297938829720387,0.6915469942501414,0.0,0.07166666666666667,0.08533333333333333,0.32926260855960804,0.0,0.10683333333333334,0.29822557379571796,0.2735
25,0.6252612191050946,0.6105650022350391,0.6458670196199989,0.28509235350142526,0.27789477450912003,0.37876409586320114,0.34375,0.3336038063445519,0.30108749226318493,0.379,0.4298180626415321
26,0.7293737233216614,0.40861980328383535,0.604094427815609,0.025333333333333333,0.06266666666666666,0.04699999999999999,0.16300522718729563,0.0,0.0,0.19533333333333333,0.17433333333333334
27,0.4740661006579401,0.3300618280273141,0.3824074327530027,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0
28,0.6243200837064993,0.4171431964230984,0.5317499083942652,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0
29,0.7285278112508653,0.4411250951837964,0.6886535059038468,0.0,0.0,0.05466666666666667,0.24087875207029952,0.09899999999999999,0.15366666666666667,0.4415673560885298,0.10626429254472397
30,0.6664793986545363,0.3979766914205308,0.6281853926069083,0.0,0.0,0.0,0.0,0.0,0.0,0.6565,0.0
31,0.6678716957925043,0.34943892786022096,0.5943777719263638,0.18700000000000003,0.0,0.06766666666666667,0.305,0.052,0.0,0.224,0.0
32,0.6055793293279194,0.4309306617362388,0.5435973449705837,0.006714285714285714,0.0,0.031,0.17285714285714285,0.0,0.20428571428571426,0.2072346852022068,0.387001715329525
33,0.49512946008847797,0.5188265905552584,0.5734168110245482,0.09050000000000001,0.0,0.16221632229608765,0.04783333333333333,0.0,0.073,0.296100797656203,0.3680020012177792
34,0.5412506778614237,0.4684857670692113,0.6053359947256112,0.0,0.0,0.12925,0.1694292188124739,0.144,0.0,0.305342615304513,0.0
35,0.7090020716821743,0.4395907006524524,0.5183047651804598,0.0,0.0,0.0585,0.12225392039047173,0.0,0.0,0.36524999999999996,0.28500000000000003
36,0.6254237519091836,0.43357781442835547,0.5658500408313404,0.019928571428571424,0.07678602118057039,0.029071428571428574,0.07464285714285714,0.039,0.054714285714285715,0.35285058567339844,0.15601744796157663
37,0.5696007448955258,0.5319646104195415,0.606688571610737,0.0,0.0,0.2386064513182073,0.0665,0.16844454599943487,0.256,0.39014451233371916,0.13675
38,0.516852000400006,0.5050069398634959,0.6470492042413071,0.15005923149625403,0.0,0.18484252479076504,0.0,0.0,0.0,0.4166666666666667,0.0
39,0.642627579569201,0.41571229006963184,0.5699606277268836,0.0152,0.0376,0.0814,0.20114337504997915,0.10600000000000001,0.0,0.1578,0.10613102612481654
40,0.6635209601222881,0.5904398040371877,0.6451898210503164,0.2187212918301446,0.2729815910176593,0.37320849473271134,0.3388584376249478,0.3219316957499904,0.0,0.0,0.0
41,0.5860887279416163,0.45862339792580004,0.5529388794248075,0.14440709727671486,0.22516053033921976,0.17140283157757044,0.17133333333333334,0.10731056524999681,0.024666666666666667,0.16031234240074224,0.18723807391090838
42,0.6680912937612424,0.471013742926388,0.5552390435970197,0.053,0.08478687271834402,0.06771428571428571,0.23933271940044415,0.047642857142857147,0.08371428571428573,0.34085714285714286,0.12164285714285715
43,0.6494628167863276,0.476848668781191,0.5753356392738221,0.06536363636363636,0.03909090909090909,0.08945454545454545,0.34365740300878683,0.03418181818181818,0.02554545454545455,0.318020443000342,0.1527272727272727
44,0.7600125686807199,0.46553499139109683,0.5745408852624202,0.0,0.0,0.0513335293343954,0.41354878733333644,0.0,0.0624,0.5337354790509892,0.31880000000000003
45,0.6266441530941859,0.4115102561622371,0.5378758549785325,0.0,0.0550912996843623,0.0,0.2117763797308374,0.028363636363636365,0.11718181818181819,0.283243786260872,0.23416777211304793
46,0.8103239056114078,0.5889183262052375,0.6475287647858098,0.0,0.02925,0.0,0.6424489949801528,0.0085,0.1238683211406008,0.3679671633609376,0.4106600226690319
47,0.6967396726268918,0.3985370845489223,0.61711134250597,0.0,0.0,0.028199999999999996,0.0938,0.0,0.029599999999999998,0.5769109023705475,0.22468568869309005
