id	als	fr	de	en	valence	arousal	dominance	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	NRC_cosine	FEEL_cosine	avg_cosine	nb_checks
62	verwöhne;Verwöhne	gâter;gâcher	Verderben;verwöhnen	spoiling;spoil	0.1412059414827572	0.7033879424294615	0.3184118829655145			0.617						0.8930423861704835	0.3926862624598733	0.6428643243151784	0
63	iwerfahre;üewerfahre	écrasé;renversé;écraser;renverser	Rauschsperre	overturn;squelch	0.2532129895266239	0.6563125055068026	0.4241308809276511	0.409		0.367						0.9083368260748088	0.0004800073919758	0.4544084167333923	0
64	verdrucke	presser;écraser	Rauschsperre	squelch	0.2673552206117175	0.5399812498068395	0.454240147108818	0.409		0.367						0.9995195622746212	0.0007379285851724	0.5001287454298968	0
65	Sire;suure;süre;süür;saurer;süer;süri;sür;saure	aigre;acide;acidité;aigreur	sauer;Säure	sour;acidity	0.2191521806992352	0.6266874960979397	0.3668414862424171			0.414						0.9354718188824253	0.8058547747563415	0.8706632968193833	0
66	rüehrend;ruehrend;ruehrendi	touchant;émouvant	gefühlvoll	soulful	0.755	0.331	0.5					0.5				1.0	0.3684645015208783	0.6842322507604391	0
67	Karne	âme	Seele	soul	0.77	0.22	0.51					0.401				1.0		1.0	0
68	Seel;Seelen;Seele	âme	Seele	soul	0.77	0.22	0.51					0.401				1.0		1.0	0
69	beruhigend	apaisant;calmant;rassurant	beruhigend	calming;reassuring;soothing	0.7662173183960808	0.2027300193698389	0.5350049291718515					0.5073138877867547			0.562	0.8805298794187402	0.6907027837578382	0.7856163315882891	0
70	läsche;löscha	apaiser	beruhigen	soothe	0.7983808345897219	0.1939999999999999	0.408972493429223					0.47				0.99994892162246	0.513152356265866	0.756550638944163	0
71	berühiga;beruhigen;berühige;beruehige;Berühige;Beruhige;Beruehige;Beruhigen;beruehig	apaiser	beruhigen	soothe	0.8034331624082213	0.194	0.4097940101476782					0.47				0.9999731030616306	0.513152356265866	0.7565627296637483	0
72	lindre	radoucir;adoucir;apaiser	beruhigen	soften;soothe	0.7522093490232803	0.194	0.4014649348005334					0.47				0.939910780967421	0.4177524034853105	0.6788315922263657	0
73	versohle	fesser	versohlen	spank	0.1242128842413602	0.8685836563625933	0.6382559041011888	0.652			0.587		0.4030000000000001			0.9999370416648612	0.7446880982652313	0.8723125699650462	0
74	schyne;scheinen;schiene;schinne;schin;schien;schynne;Scheinen	briller	funkeln;scheinen	shine;glitter	0.8072695738025952	0.6489658986666108	0.6903723552375505		0.4464706229420422	0.094		0.5204829232246262		0.367		0.8781613494528798	0.6204786008465994	0.7493199751497397	0
75	glänze;glänzig	briller;luire;miroiter	funkeln;glänzen	shimmer;glitter;glisten;gleam	0.7754546029978774	0.6210714837973017	0.6845291116792677		0.4464709225174093	0.094		0.5204908886809393		0.367		0.85536386995306	0.7776655862401478	0.8165147280966039	0
76	Bohne	haricot;grain	Korn;Bohne;Fleck	speck;bean;grain	0.5752981941108837	0.2836034602923914	0.2995884678772			0.2945378655897746						0.9367759109898928	0.8744801777878092	0.9056280443888508	0
77	Korn	blé;céréale;céréales;froment;grain	Korn;Fleck	cereal;cereals;wheat;speck;corn;bead;grain	0.5540161141611356	0.2481028787373815	0.3152082516929992			0.2945558613401486						0.922442110093271	0.2681870971850055	0.5953146036391384	0
78	Windstoß;Windstoss	bourrasque;rafale;grain	Korn;Fleck	flurry;speck;gust;grain	0.4372999569747299	0.5257005124412573	0.4462293657972079			0.2945405396408058						0.923598808684017	0.180595390134527	0.552097099409272	0
79	Schandfleck	tache	Schandfleck;Fleck	stain	0.4577757073648441	0.3268356420425613	0.3298099575250677			0.4108811409391057						0.9921023299382904	0.4557054044502351	0.7239038671942628	0
80	Graddel;gradel;graddel	grain	Korn;Fleck	speck;grain	0.4776636211827952	0.2991452658907824	0.3374744220566688			0.2945263342924837						0.950483037385838	0.538044537312528	0.744263787349183	0
81	Flecken;Fläcke;Flecke;Fleck;Flack	tache;endroit;grain	Flak;Fleck	speck;place;flak;stain	0.4658561814634919	0.3586561897131121	0.3912726008104069			0.3853567693521437						0.91542007094673	0.4424653348240082	0.6789427028853691	0
