,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
129,130,0.568,0.654,0.571,0.117,0.129,0.125,0.242,0.000,0.000,0.278,0.266,0.342,0.563,0.441,0.313,0.422,0.339,0.000,0.325,0.000,0.096,0.263
130,131,0.438,0.671,0.425,0.151,0.094,0.000,0.182,0.192,0.000,0.120,0.000,0.040,0.827,0.545,0.706,0.758,0.833,0.000,0.672,0.000,0.000,0.000
131,134,0.493,0.449,0.394,0.000,0.193,0.121,0.182,0.094,0.000,0.000,0.000,0.375,0.394,0.365,0.000,0.000,0.000,0.000,0.281,0.000,0.000,0.000
132,135,0.537,0.579,0.488,0.146,0.182,0.249,0.144,0.376,0.000,0.000,0.000,0.938,0.368,0.534,0.000,0.000,0.000,0.547,0.000,0.219,0.617,0.383
133,136,0.379,0.572,0.465,0.200,0.109,0.441,0.103,0.257,0.034,0.000,0.095,0.409,0.592,0.547,0.000,0.000,0.234,0.000,0.000,0.000,0.000,0.293
134,137,0.506,0.511,0.564,0.136,0.174,0.365,0.126,0.242,0.072,0.171,0.050,0.526,0.434,0.508,0.000,0.284,0.234,0.197,0.182,0.000,0.242,0.000
135,138,0.588,0.490,0.577,0.031,0.030,0.051,0.170,0.051,0.030,0.243,0.163,0.565,0.433,0.483,0.000,0.115,0.000,0.137,0.000,0.055,0.387,0.096
136,139,0.312,0.630,0.359,0.000,0.284,0.000,0.000,0.000,0.000,0.000,0.317,0.747,0.220,0.548,0.000,0.000,0.000,0.272,0.000,0.000,0.271,0.107
137,140,0.553,0.460,0.473,0.000,0.269,0.125,0.125,0.000,0.000,0.146,0.000,0.553,0.464,0.471,0.000,0.275,0.125,0.125,0.000,0.000,0.146,0.000
138,141,0.484,0.478,0.490,0.080,0.031,0.185,0.204,0.168,0.000,0.000,0.105,0.438,0.398,0.451,0.083,0.123,0.155,0.000,0.266,0.000,0.303,0.000
