,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
85,87,0.935,0.427,0.551,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.753,0.534,0.574,0.000,0.000,0.000,0.246,0.000,0.000,0.000,0.301
86,88,0.219,0.472,0.418,0.156,0.000,0.438,0.000,0.562,0.000,0.000,0.000,0.571,0.640,0.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.603
87,90,0.770,0.371,0.654,0.000,0.000,0.000,0.117,0.000,0.000,0.554,0.103,0.710,0.388,0.642,0.000,0.000,0.000,0.000,0.000,0.099,0.401,0.000
88,91,0.641,0.401,0.699,0.025,0.063,0.047,0.000,0.000,0.000,0.398,0.000,0.580,0.456,0.671,0.190,0.000,0.229,0.000,0.266,0.000,0.398,0.000
89,92,0.701,0.471,0.624,0.015,0.038,0.028,0.221,0.000,0.000,0.353,0.131,0.767,0.425,0.647,0.000,0.000,0.000,0.125,0.000,0.000,0.563,0.219
90,93,0.383,0.634,0.387,0.242,0.309,0.369,0.000,0.109,0.000,0.000,0.177,0.540,0.553,0.484,0.265,0.255,0.163,0.230,0.090,0.117,0.103,0.212
91,94,0.731,0.459,0.437,0.000,0.000,0.000,0.440,0.000,0.082,0.000,0.250,0.616,0.421,0.447,0.070,0.058,0.000,0.425,0.078,0.080,0.133,0.221
92,95,0.655,0.387,0.572,0.000,0.000,0.000,0.117,0.000,0.000,0.385,0.365,0.844,0.396,0.648,0.000,0.000,0.000,0.000,0.000,0.000,0.616,0.000
93,96,0.637,0.390,0.502,0.000,0.000,0.117,0.297,0.000,0.000,0.000,0.308,0.711,0.743,0.689,0.000,0.000,0.000,0.000,0.000,0.469,0.000,0.000
94,97,0.798,0.484,0.671,0.000,0.000,0.022,0.458,0.000,0.000,0.373,0.086,0.731,0.498,0.666,0.000,0.000,0.000,0.289,0.000,0.090,0.503,0.274
95,98,0.767,0.551,0.682,0.033,0.000,0.010,0.333,0.000,0.000,0.387,0.184,0.759,0.650,0.656,0.078,0.061,0.141,0.398,0.072,0.000,0.265,0.114
96,99,0.620,0.532,0.454,0.000,0.000,0.000,0.364,0.000,0.000,0.000,0.317,0.683,0.509,0.622,0.000,0.000,0.000,0.339,0.000,0.000,0.285,0.000
97,100,0.300,0.481,0.303,0.230,0.198,0.283,0.172,0.123,0.000,0.000,0.206,0.187,0.497,0.192,0.516,0.424,0.000,0.000,0.000,0.000,0.000,0.000
98,101,0.482,0.556,0.494,0.236,0.299,0.195,0.000,0.130,0.000,0.141,0.154,0.511,0.533,0.462,0.148,0.145,0.138,0.254,0.131,0.000,0.278,0.103
99,102,0.706,0.552,0.615,0.088,0.154,0.000,0.208,0.000,0.000,0.285,0.000,0.649,0.496,0.548,0.012,0.000,0.000,0.203,0.000,0.000,0.338,0.083
100,103,0.146,0.638,0.290,0.691,0.594,0.615,0.000,0.368,0.000,0.000,0.000,0.458,0.567,0.485,0.328,0.140,0.000,0.226,0.000,0.000,0.000,0.000
101,104,0.605,0.468,0.434,0.000,0.000,0.000,0.416,0.099,0.000,0.218,0.207,0.697,0.384,0.637,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.258
102,105,0.626,0.527,0.487,0.000,0.000,0.146,0.333,0.282,0.000,0.000,0.000,0.650,0.492,0.502,0.193,0.142,0.214,0.390,0.178,0.247,0.000,0.000
103,106,0.543,0.417,0.549,0.038,0.094,0.070,0.000,0.000,0.000,0.000,0.317,0.514,0.465,0.553,0.138,0.127,0.149,0.000,0.108,0.186,0.222,0.181
104,107,0.659,0.445,0.714,0.025,0.063,0.078,0.182,0.000,0.000,0.398,0.161,0.584,0.512,0.617,0.173,0.148,0.154,0.082,0.092,0.000,0.474,0.000
105,108,0.618,0.484,0.567,0.000,0.152,0.000,0.436,0.078,0.000,0.256,0.267,0.508,0.394,0.417,0.000,0.202,0.000,0.156,0.104,0.148,0.145,0.138
106,109,0.696,0.371,0.385,0.000,0.000,0.000,0.000,0.000,0.086,0.262,0.141,0.747,0.413,0.484,0.000,0.000,0.000,0.226,0.000,0.057,0.174,0.094
107,110,0.574,0.450,0.591,0.097,0.111,0.028,0.109,0.000,0.000,0.261,0.000,0.600,0.460,0.532,0.047,0.137,0.113,0.126,0.099,0.091,0.272,0.216
108,111,0.739,0.393,0.692,0.000,0.000,0.000,0.164,0.000,0.000,0.660,0.000,0.697,0.385,0.599,0.000,0.000,0.000,0.313,0.000,0.089,0.264,0.000
109,112,0.629,0.453,0.519,0.161,0.108,0.137,0.144,0.170,0.203,0.281,0.378,0.526,0.404,0.477,0.212,0.039,0.067,0.000,0.059,0.000,0.182,0.202
110,113,0.523,0.548,0.559,0.197,0.150,0.221,0.161,0.195,0.000,0.181,0.043,0.566,0.524,0.573,0.230,0.092,0.235,0.188,0.153,0.000,0.204,0.034
111,115,0.422,0.469,0.382,0.115,0.111,0.187,0.339,0.187,0.109,0.068,0.234,0.193,0.471,0.187,0.516,0.429,0.000,0.000,0.000,0.000,0.000,0.000
112,116,0.489,0.534,0.534,0.098,0.154,0.171,0.000,0.269,0.000,0.121,0.000,0.216,0.423,0.203,0.000,0.000,0.000,0.516,0.000,0.000,0.000,0.000
113,117,0.811,0.581,0.587,0.015,0.000,0.021,0.619,0.003,0.117,0.195,0.349,0.737,0.423,0.629,0.006,0.000,0.008,0.352,0.000,0.021,0.219,0.178
114,118,0.532,0.569,0.574,0.000,0.142,0.117,0.169,0.113,0.000,0.159,0.000,0.741,0.525,0.681,0.000,0.000,0.000,0.308,0.000,0.108,0.377,0.248
115,119,0.679,0.540,0.558,0.000,0.121,0.000,0.456,0.062,0.062,0.292,0.439,0.602,0.601,0.670,0.269,0.213,0.221,0.187,0.197,0.171,0.284,0.150
116,120,0.429,0.756,0.806,0.000,0.398,0.453,0.000,0.000,0.000,0.000,0.000,0.188,0.558,0.259,0.441,0.445,0.000,0.000,0.000,0.000,0.000,0.000
117,121,0.739,0.495,0.597,0.000,0.000,0.000,0.417,0.000,0.065,0.289,0.378,0.780,0.519,0.612,0.000,0.000,0.059,0.481,0.000,0.000,0.283,0.417
118,122,0.423,0.389,0.386,0.197,0.139,0.272,0.113,0.260,0.041,0.097,0.180,0.493,0.510,0.476,0.061,0.110,0.137,0.217,0.167,0.025,0.209,0.128
119,123,0.759,0.428,0.641,0.033,0.000,0.033,0.325,0.000,0.000,0.459,0.250,0.633,0.420,0.605,0.129,0.105,0.000,0.082,0.000,0.000,0.499,0.082
120,124,0.303,0.472,0.363,0.286,0.166,0.281,0.000,0.281,0.164,0.102,0.351,0.731,0.470,0.626,0.000,0.086,0.068,0.304,0.000,0.033,0.233,0.402
121,125,0.695,0.510,0.697,0.000,0.000,0.027,0.118,0.000,0.000,0.470,0.265,0.749,0.461,0.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.636
122,126,0.090,0.662,0.247,0.000,0.000,0.484,0.000,0.453,0.000,0.000,0.000,0.603,0.537,0.684,0.178,0.114,0.000,0.000,0.000,0.000,0.314,0.000
123,127,0.366,0.457,0.321,0.000,0.000,0.000,0.000,0.375,0.000,0.129,0.317,0.544,0.481,0.506,0.089,0.071,0.131,0.095,0.121,0.040,0.204,0.118
124,128,0.587,0.449,0.566,0.000,0.000,0.133,0.274,0.000,0.000,0.136,0.000,0.291,0.559,0.377,0.000,0.000,0.266,0.000,0.314,0.000,0.000,0.000
125,129,0.740,0.484,0.699,0.000,0.000,0.000,0.427,0.000,0.174,0.433,0.260,0.670,0.505,0.636,0.146,0.182,0.249,0.226,0.215,0.000,0.242,0.000
126,130,0.568,0.654,0.571,0.117,0.129,0.125,0.242,0.000,0.000,0.278,0.266,0.364,0.592,0.448,0.230,0.345,0.248,0.000,0.180,0.161,0.225,0.091
127,131,0.438,0.671,0.425,0.151,0.094,0.000,0.182,0.192,0.000,0.120,0.000,0.570,0.667,0.465,0.148,0.145,0.197,0.273,0.131,0.000,0.179,0.154
128,132,0.562,0.424,0.608,0.160,0.047,0.219,0.082,0.000,0.000,0.361,0.000,0.815,0.411,0.741,0.000,0.000,0.000,0.328,0.000,0.000,0.789,0.000
129,133,0.656,0.465,0.698,0.141,0.000,0.183,0.164,0.000,0.000,0.537,0.000,0.603,0.503,0.672,0.250,0.136,0.370,0.172,0.188,0.084,0.365,0.098
130,134,0.493,0.449,0.394,0.000,0.193,0.121,0.182,0.094,0.000,0.000,0.000,0.600,0.513,0.515,0.000,0.138,0.203,0.352,0.170,0.000,0.263,0.000
131,135,0.537,0.579,0.488,0.146,0.182,0.249,0.144,0.376,0.000,0.000,0.000,0.511,0.544,0.505,0.115,0.000,0.078,0.226,0.145,0.000,0.000,0.206
132,136,0.379,0.572,0.465,0.200,0.109,0.441,0.103,0.257,0.034,0.000,0.095,0.568,0.503,0.626,0.109,0.136,0.187,0.109,0.161,0.000,0.000,0.275
133,137,0.506,0.511,0.564,0.136,0.174,0.365,0.126,0.242,0.072,0.171,0.050,0.666,0.472,0.596,0.109,0.136,0.187,0.257,0.161,0.000,0.182,0.000
134,138,0.588,0.490,0.577,0.031,0.030,0.051,0.170,0.051,0.030,0.243,0.163,0.513,0.508,0.530,0.238,0.244,0.187,0.169,0.161,0.000,0.122,0.103
135,139,0.312,0.630,0.359,0.000,0.284,0.000,0.000,0.000,0.000,0.000,0.317,0.771,0.334,0.529,0.000,0.000,0.000,0.593,0.000,0.152,0.632,0.000
