verzeihen => verzeihj
vergessen => vergasse
eilen => Eila
frommen => frommi
Troste => Droscht
Christi => Chrischtian
lauten => läuten
Aufschrei => Aufschrei
verbergen => verbarge
bitte => Bitt
Komm => kumme
folgenden => folgende
Gesicht => G'sicht
laut => läuten
einfach => eenfach
Thränen => Thrane
Reue => Reue
Herz => Härze
erleichtern => erleichtern
meiner => meinen
lieb => lieb
zusammen => zamme
Zeit => Zitt’
lang => langer
alten => Aelterer
Freundschaft => Friendschaft
miteinander => mit-nander
Trennung => Trennung
Vater => Vadder
starb => stärb
Besitz => B’sitz
freie => freia
sehr => sehr
frei => freia
strenge => Strenge
Leben => lab
genießen => genieße
nichts => nischts
heilig => Heiligi
verlor => verloren
Glauben => Glöüwe
schließlich => schliesslig
Gott => Gott
Ganze => Ganzi
trieb => Trieb
lang => langer
plötzlich => plötzlichen
anders => andrs
Spannung => Spannung
eilen => Eila
läuten => läuten
Schlage => schläuj
Krankenhause => Krankenhause
eilen => Eila
Erleuchtung => Erleuchtung
Herr => Herr
abgezehrten => abgezehrten
Lebenskraft => Lebenskraft
gelobte => gelobte
Schwur => Schwur
Gott => Gott
Gott => Gott
vornahm => vornähme
strengen => Strenge
Gott => Gott
schweren => Schwer
Sünden => Sünde
Leben => lab
reichlich => reichlichi
Gotte => Gott
Weg => Weg
Herr => Herr
Leben => lab
beginnen => Beginn
Ja => Ja‚
Herz => Härze
vergiftet => vergiftet
Ja => Ja‚
sorgen => Sorga
morgen => Morjen
Priester => Prieschter
Sünden => Sünde
bitten => Bitt
würdig => würdig
frommen => frommi
benachrichtigen => benachrichtigen
morgen => Morjen
Abschied => Abschied
weinen => Weinen
Fürchte => fuehricht
Druck => Drucke
gezwungen => gezwungen
heiligen => Heiligi
schaden => Schade
meine => meinen
gut => Guten
aufgehoben => aufgehoben
erfahren => erfahreni
meine => meinen
Sorge => Sorga
verspreche => Versprechen
Not => Not
leiden => lid
brav => brava
Ganz => Ganzi
Herr => Herr
Leben => lab
Herz => Härze
Leben => lab
verdien => verdeene
güet => Guten
Herr => Herr
Nichts => nischts
einfachen => eenfach
kostbaren => koschtbare
Gott => Gott
komm => kumme
sorgen => Sorga
Vater => Vadder
betranken => betrunken
Zeit => Zitt’
lang => langer
singen => Singen
Singen => Singen
Geld => Gald
Gesang => G'sang
stolz => stolzi
halt => halte
gern => gern
süeche => suche
Herr => Herr
Pfarrer => Pfarrer
bitt => Bitt
Babbe => Bäbbe
Vater => Vadder
Gott => Gott
zahle => zehl
armi => arm
Deifel => Täifel
Engel => Angele
Vater => Vadder
Herr => Herr
Pfarrer => Pfarrer
Herr => Herr
Hüs => Huus
hol => hool'
Durscht => Durst
lewe => lab
Herr => Herr
Pfarrer => Pfarrer
Macht => Macht
Herr => Herr
ziemli => ziemli
dunkel => dunkle
Mann => Mænner
Jesses => Jesses
Gott => Gott
Vater => Vadder
Ja => Ja‚
Hüs => Huus
wüscht => wuescht
zsamme => zamme
Herr => Herr
lieb => lieb
Mann => Mænner
gemacht => gemachti
Vater => Vadder
unten => unde
Ja => Ja‚
Maidel => Maidl
Babbe => Bäbbe
schamloser => schamloser
Familie => Famili
Unglück => Ungleck
Tochter => Doochder
Verderb => vrdarwe
armen => arm
leben => lab
Furcht => fuehricht
Brutalität => Brutalität
frei => freia
Zorn => zornig
fürchte => fuehricht
schleudere => schleudra
Worte => Woorte
Gesicht => G'sicht
gerechten => gerechte
Vergeltung => Vergeltung
Vater => Vadder
kumme => kumme
drohend => Drohend
Mann => Mænner
unglücklich => ungluecklicher
Herr => Herr
Engel => Angele
warm => warme
leben => lab
wohl => wohler
warm => warme
Ja => Ja‚
Herr => Herr
Vater => Vadder
Hüs => Huus
Schinheiligi => schienheilig
heiß => heissa
Pfarrer => Pfarrer
Pfarrer => Pfarrer
Pfarrer => Pfarrer
Worten => Woorte
Engel => Angele
erschrickt => erschreekt
uff => üf
uff => üf
bitt => Bitt
laut => läuten
Beschuldigte => Beschuldigte
Vater => Vadder
heiße => häise
kumme => kumme
gelade => geladen
Aufschrei => Aufschrei
Allmächtiger => allmächtiger
Himmel => Himmel
ohnmächtig => ohnmächtig
Vater => Vadder
halt => halte
Mann => Mænner
Vater => Vadder
Dummheite => Dummheiten
Gott => Gott
Deifel => Täifel
halt => halte
kleini => Kläiner
gfitzt => g’fitzti
bisamme => beisammen
Engel => Angele
Traume => träume
Man => Mænner
sicht => Sicht
plötzlich => plötzlichen
schnell => schnalle
eilt => eilt
kumme => kumme
Herr => Herr
Dokt'r => Doktor
Herr => Herr
plötzlich => plötzlichen
güet => Guten
kumm => kumme
eilt => eilt
geschickt => g’schickt
folgenden => folgende
Pause => Paus'
blos => bloose
kleini => Kläiner
Herr => Herr
mein => meinen
Herr => Herr
Zitt => Zitt’
verliere => verloren
güet => Guten
Kumme => kumme
schnell => schnalle
Allmächtiger => allmächtiger
Gott => Gott
furtlaufe => Furtlaufe
Mann => Mænner
Mann => Mænner
uff => üf
Vater => Vadder
erwachend => erwachend
