stellen => stella
Reih => Reihe
lawe => lab
hoch => höcher
hoch => höcher
hoch => höcher
Musik => Musiken
amesiere => Amüsiere
uf => üf
händle => händel
gemacht => gemachti
Buckel => buckel
frej => freia
Soldate => Saldote
Andres => andrs
kumm => kumme
uf => üf
Angscht => Angst
kumm => kumme
unter => unde
Chrischtian => Chrischtian
Vatter => Vadder
Müeder => Müâter
lang => langer
verläch => verläch
schad => Schade
Angscht => Angst
ferchte => fuehricht
Streifer => Streifer
schen => schen
erschreckt => erschreekt
Teifel => Täifel
lachend => lachende
ferchte => fuehricht
Streifer => Streifer
Herr => Herr
G’sündhäit => G’sundheit’
stille => stilli
Streifer => Streifer
laut => läuten
langwillich => langwillich
Streifer => Streifer
Ja => Ja‚
Streifer => Streifer
tanz => Tänzer
Kränk => krank
laut => läuten
Pläsir => Plaisir
meine => meinen
Herr => Herr
gute => gueti
Herr => Herr
Musik => Musiken
Spielen => spielen
Musik => Musiken
sehr => sehr
Musik => Musiken
klatschen => klatschen
Worte => Woorte
Schandarm => Schandarm
zusammen => zamme
ängstlich => Ängstlich
Streifer => Streifer
ängstlich => Ängstlich
Schandarm => Schandarm
Streifer => Streifer
Angscht => Angst
Schandarme => Schandarm
Streifer => Streifer
Wunder => Wunder
laut => läuten
Angscht => Angst
Schandarm => Schandarm
Rühe => riawig
hält => halte
singe => Singen
Singe => Singen
Kamerade => Kamerad
natt => natt
Schön => Schön
Jügend => Jügend
singen => Singen
Himmel => Himmel
ward => warte
Jugend => Jügend
schön => Schön
Schön => Schön
Jugend => Jügend
Streifer => Streifer
klatschen => klatschen
Beifall => Beifall
Gsündhäit => G’sundheit’
Schön => Schön
Jugend => Jügend
stossen => stoße
G’sündhäit => G’sundheit’
läwe => lab
Zitt => Zitt’
Ja => Ja‚
Söij => Soi
Pfünd => Pfund
Streifer => Streifer
komm => kumme
läischte => läischte
bisamme => beisammen
Herr => Herr
Streifer => Streifer
Wort => Woorte
Herre => Herr
bienand => bynander
kumme => kumme
Streifer => Streifer
müed => miede
Reis => Räis
uf => üf
morje => Morjen
hie => hin
Ühr => Ühre
Herr => Herr
Hoft => Hoft
kumme => kumme
zahl => zehl
lewe => lab
hoch => höcher
hoch => höcher
Musik => Musiken
grossarti => grossartige
Ja => Ja‚
Streifer => Streifer
Streifer => Streifer
grossartig => grossartige
zusammen => zamme
schöen => schen
meschügge => maschücke
Streifer => Streifer
Müehj => Müehj
hält => halte
hin => hin
neti => nett
neti => nett
Hoft => Hoft
gerischt => geruescht
