drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,Jacques,M,valet,elementary_professions,lower_class,"Wenn ich vun do furt geh — jaja, zem. letschtemol no! — No isch üsgedomestiquelt.",77,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Un mit Dim zammegsparte V'rmüije fangsch d'rnoo e Krämel an — — —,78,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,In d'r Krämergass?,79,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Un d'rnoo gründsch D'r e eijener Hüsstand?!,80,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Hein?! — Was fer e Stand?!,81,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Löijsch Dich no nooch eme schöene, brave, rechtschaffene Maidel um — —",82,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Hein?! — Worum jetz grad nooch eme Maidl?,83,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Dü nimmsch e Maidel wie koche, nähje, strieke, wäsche, Strümpf stopfe un sunscht alles mache kaan — — —",84,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Marickel — hahahaha — ich merk schun wied'r ebs!,85,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Un dies Maidel hyrootsch no — — —,86,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Oeh la, Schimmel! — Ja Hepplamepperle! — Ich merk's, wo's nüs will! — Ah, un Dü hesch anoch gemaant ich merk nix! —|||""Dü hesch jo gar kaan Ahnung, wie hell d'r Schääkele isch"".",87,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Ei na, wenn Dü no hell genuej bisch, no wäre-m-'r au enandernooch Maan un Frau un krieje enander vun Daa ze Daa liewer — un d'r-|||noo läwe-m-'r glichli mitnand -un d'rnoo — un d'rnoo kumme die herzige klaane, wuschberliche, süeße Bébé — — —",88,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Sunscht nix wie Knepfle! Naan, Mamsel Marie, sie kumme noch nit! — Aeh-äh — sie kumme noch nit! — Iewerhaupt — nooch mienere Maanung, laaft schun wied'r viel zeviel vun dem Gerührs do erum. Jetz sogar noch Negerle un Anamitle!",89,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Aw'r Jacques!,90,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Na, ich hab jo nix do d'rgeje. — E jeds Dhierel het sin Pläsierel, un jedem Narr gfallt sini Kapp!-",91,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Jacques!,92,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Was beliebt?,93,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Gell Dü hesch die klaane, herzige Kinderle gern?",94,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"O ja. Arig gern, aw'r numme in andere Lyt ihri!",95,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,D'Madam schellt! — Isch's jetz fer mich od'r fer Dich?,96,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Sie sell warte, die alt Schatüll —|||Numme nit glich geloffe! Mir han se dennewäej schun viel ze viel v'rwöehnt.",97,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,ffffft! — Hutzti! — Hepplamepperle! — fffft!,98,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,ffffft! — Hutzti! — Hepplamepperle! — fffft!,99,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Wenn Die maant, daß dies eso wyttersch geht mit dere Stäeje-n-uff un abrennerej, no isch se aw'r diesmol schläecht orientiert. — Vor alle Dinge wurd jetz emol e Düür anne gsesse.|||Marie, Dü bisch doch au müed wie e — — - wie e Dienschtmaidel?",100,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Aw'r sicher! — Derf ich näwe Dich sitze?,101,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Mientwäeje au uff de Geere.,102,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Jo allewäej!,103,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Ei na — d'r Madam ze Leid — kumm! — —,104,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Naan, Jacques, es isch nit anständi.",105,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Ze wär ich demnooch unanständig.,106,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Naan, Jacques, ums Himmelswille, dies hawich nit saawe welle|||Wenn aw'r d'Madam kummt?",107,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Sie kummt aw'r nit.,108,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Od'r wenn se uns eso sieht?,109,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Sie sell sich um ihri Angeläjeheite interessiere.,110,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Bisch doch e seelegueter Burscht, Jacques.",111,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Ja?,112,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Bisch e liewer gueter Kerl.,113,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Allewäej?,114,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Wenn ich d'r saa!|||Jaeques-,115,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Was hesch uffem Herze?,116,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Ich — ich hab Dich gern!,117,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Aha, ich merk schun wied'r ebs!",118,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Jacques, mir derfe nimmi üssenander, kummt's wies will! Mir Zwei muehn bienander bliewe, denn mir sin enander schun so gewohnt, daß mir aans ohni 's ander iewerhaupt nimmi läwe könnte. Mit aam Wort: mir Zwei muehn enander hyroothe, ich mueß Dini Frau wäre — — —",119,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Was muesch Dü?,120,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Dini Frau wäre!,121,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Oho! Zeij Marie, steh e bissel uff!",122,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Naan, ewwe hesch v'rlangt, daß ich D'r uff de Geere sitz, jetz blie ich aw'r au sitze! Die günschtig Geläjeheit loß ich diesmol nimmi fahre!",123,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,O ich Dolle!,124,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Jacques, wenn Dü emol do üs dem Platz eweck gehsch, un daß mir üssenander gerisse däete wäre, d'rnoo muesch hyroothe — iewerleij D'r's wie De witt — Dü muesch d'rnoo ewwe hyroothe! — Do springsch nit drum erum! Un wenn Dü d'rnoo hyrootsch, d'rnoo muesch vor alle Dinge e Frau nämme wie Dich kennt, wie Dich lieb het, wie Dine Charakter v'rsteht, un wie weiß, wie se mit Dir umzegehn het un wie Dü bhandelt muesch wäre — — —",125,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Wo steht denn dies gschriewe, daß ich iewerhaupt emol hyroth?",126,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Aanfach — Dü muesch hyroothe!,127,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Ich mueß?,128,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Ja, Dü muesch.",129,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Wer saat dies?!,130,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Ich saa's!,131,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Zeij, Marie, steh uff!",132,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Noch aan Moment.,133,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,D'Füeß schloofe m'r in — un — un ich kriej de Datteri in d'Knej — un ich schwitz m'r e pflutschnasser Buckel! — V'rdoria noch emol!,134,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Dies lejt mir jetz Alles nix an! — Ich saa Dir's aanfach noch hundertmol: Dü muesch hyroothe! Denn wenn nit hyrootsch, no hesch jo kaan Menscheseel uff dere Welt wie uff Dich löijt un wie Dich bsorjt. No kriejsch kann Wäsch gewäsche, kaan Kleider gfliekt, kaan Strümpf gstopft, kaan Knopf angenähjt, un kaan gueti kräftige Süppele kocht — — —",135,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Ei, ei, ei, ei, ei, ei!",136,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Gell, an so Sache hesch noch gar nie gedenkt?",137,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Naan.,138,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Ja siehsch, min liewer Bue, m'r mueß ewwe an Alles denke!",139,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Was hesch denn do?,140,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,E-n-Apfel!,141,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Wo hesch denn dene here?,142,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Uessem Garte.|||wit au e Biß?,143,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Aeh-äh! — Ich merk schun wied'r ebs!,144,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Nimm doch e Biß! Geh! Schenier Dich doch nit!,145,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Steh üff jetz!,146,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Zerscht dhuesch emol herzhaft drin bisse.,147,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Na, daß Ruehj hesch — here mit! — Aw'r no stehsch uff! —",148,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Isch'r guet?,149,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Aw'r sicher.,150,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Isch'r au süeß?,151,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Aw'r sicher!,152,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Witt noch e Biß?,153,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Ich hab jo 's Mül noch voll.,154,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Nimm noch e klaans Bissele, geh!",155,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Höer, Marie, so het's d'Eva zellemols im Paradies mit 'm Adam getriewe.",156,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Do wärdsch Dü d'r Adam?,157,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Dü d'Eva! — Jetz fehlt numme noch d'Schlang.,158,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Là voilà — doch isch se jo schun!,159,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Wahrhafti! Na, jetz wär jo so ziemli Alles bienander — numme 's Paradies fehlt noch! Im Paradies sin m'r bis hyt noch nit gsin. Gell nit, Evele?",160,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Naan jo nit. — Ehnder mittle in d'r Höll! — Aw'r mir welle jetz emol ins Paradies mitnander, Arm in Arm, un unser Läwe genieße un glickli un zefridde mitnand un näwenander läwe!|||Ich läb fer Dich, un Dü läbsch ger mich! Gell Jacques?!",161,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Mini Füeß sin ganz stiff worre. Un am räechte Fueß schlooft m'r d'r groß Zeh! - Sapperlot, wie dies kriwwelt! — Do bisch Dü d'Schuld dran! —",162,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Mientwäeje. — Ich nimm jo gern alli Schuld uff mich. Un ich will d'r's jo au gern v'r- spreche, dab ich miener Läwe eso ebs nimmi dhun will.",163,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,hein? — Was hesch gsaat?,164,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Sicher! — Miner Läwe ninimi.,165,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Ja, so siehsch üs!",166,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Bisch nit böes gell nit?,167,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Aw'r Marie?! — Eva?! —,168,riff-s-paradies
