shortName,drama_type,anger,anticipation,arousal,disgust,dominance,fear,joy,sadness,surprise,trust,valence
ne-hiroth-dur-d-extrapost,comedy,0.1324982220490203,0.1250955480071308,0.50330762180792,0.0573198729143749,0.5777064600293149,0.14365073672252546,0.1984714576706468,0.04173853142527655,0.05094374064977085,0.16188645151402703,0.5976398144193423
ne-jumpfre-wo-nitt-hirothe-will,comedy,0.14448032598565602,0.08300595536080532,0.48827662414962275,0.05566401590142059,0.5774669487298392,0.08503753478457214,0.15948006230534034,0.028585411839866792,0.023346008079593358,0.16167942850852804,0.5862080497328006
ne-scandal,comedy,0.15250852181815597,0.18278037581999992,0.49648786136420275,0.06642271722776204,0.5446721521987264,0.14239535759415523,0.15015905725040468,0.08594148261775639,0.05120605682883681,0.2138334518795194,0.5424714198793882
riff-d-schloofere,comedy,0.04802483499929394,0.0901415243394891,0.4330637875174118,0.05618642477782392,0.5439842351197597,0.06472039997111527,0.26157740945483016,0.05684919407078444,0.04498431965378112,0.1440809081408025,0.607686715776436
riff-dr-hasestrickler,comedy,0.10836627314299882,0.1419762942154748,0.5391074487258378,0.0732953125014744,0.5327668880942598,0.10990806909207537,0.25664362679130814,0.05627774527866043,0.07124460827140333,0.16602473809460638,0.5682644782544857
riff-s-paradies,comedy,0.08387882397325613,0.10823909399999682,0.5361813861639653,0.07397956190270055,0.5513327583853869,0.07673914902855487,0.3343663886583949,0.05752999147729818,0.08669918263910806,0.1924888692068446,0.6324098300587166
riff-sainte-barbe,comedy,0.05788291318345712,0.10929301313208176,0.5104830130628163,0.059199128684674106,0.5383663638333538,0.08100693700086979,0.21581955654236973,0.047049833782919874,0.09763502432461066,0.1455358373005186,0.5737142108343836
schneegans-steckelburjer-universite-saaue,comedy,0.04664067186778305,0.15190805434890087,0.4867987780332576,0.05289554261082065,0.5609029364453014,0.05625205411852569,0.23901611982436852,0.04757506587896532,0.04579740706377887,0.22315933328219584,0.6285567566768485
sengelin-d-mamsell-elis,comedy,0.10717471686347058,0.1426377653626676,0.5204738073908147,0.08583618277157318,0.5443562072446362,0.0956204510233079,0.21137214323643536,0.06004090718811194,0.07084611562438767,0.21377144140613738,0.5852232129549338
stoskopf-dr-herr-maire,comedy,0.06405988830838676,0.12803887883303022,0.4944848074741046,0.06303496197322173,0.5666629609118128,0.09102157715487104,0.26799487449379933,0.062228488801707844,0.04024698862969049,0.18175344019656597,0.6246043852643919
stoskopf-dr-hoflieferant,comedy,0.0799231293959412,0.13459770916257796,0.5137868007313362,0.07192743616337274,0.5606922571429585,0.07968640694654235,0.23309017638234034,0.07082521868878441,0.06272599644412555,0.2126945772207714,0.6051712543768695
stoskopf-e-diplomat,comedy,0.09000202432243627,0.1484264177373731,0.5325248024105778,0.05560695322183176,0.5419252307249092,0.1098705181014683,0.2693780126159411,0.08527252780907671,0.07694373471174333,0.1946971344244146,0.6021988706648385
stoskopf-e-mordsaffar,comedy,0.0657649628762163,0.11720294267068362,0.49941362808619655,0.04964839795940164,0.5176936502793856,0.08510569656674258,0.2757412270717087,0.09983487332509125,0.05663309157836075,0.19979859954103424,0.5950080525654771
stoskopf-ins-ropfers-apothek,comedy,0.07789576408888127,0.11289315928100908,0.506806115098609,0.09529462388195468,0.5588172900475404,0.08108007546868215,0.1824611361070178,0.0695320381598175,0.06195260867831589,0.22920111971478435,0.5898051340745558
stoskopf-wenn-d-fraue-wahle,comedy,0.06537885440250706,0.12817002448765497,0.49260208550011914,0.08453241816526644,0.5610594765092459,0.06320619866849717,0.20226581069422608,0.06100497111711484,0.043216221836851414,0.22920108681751117,0.6125782532974827
uf-bsuech-bi-dr-frau,comedy,0.10061516058690596,0.04890503162080547,0.4642457547992891,0.11744460488005447,0.5752748750716898,0.12838857667213013,0.07113691236276677,0.06823545704604131,0.022300487415549266,0.10174588116147273,0.5629089735515883
vor-un-no-dr-hochzit,comedy,0.10834114444506814,0.08043820513844717,0.4769755663157866,0.13361427518352292,0.5492191619758483,0.1523306844744625,0.12532174742750662,0.04408960980728702,0.03188081882627207,0.14043301945046915,0.5532457430461772
wagner-die-greifensteiner,drama,0.12948614435899597,0.14293695743665694,0.5367402663270752,0.11612696046791358,0.5495007688946602,0.1422156953801223,0.18646050170187908,0.1152445170303872,0.06860033260545598,0.2045776145040784,0.5532703068419851
weber-am-wihnachtsowe-bym-e-kriejsblinde,tale,0.06609925700325009,0.13712393910425422,0.5096776624763693,0.035280014556318684,0.49735132423652484,0.08381315233971048,0.28637790856762113,0.08209549483879082,0.038400360920133575,0.1873126245935441,0.5857349171971977
weber-e-bissel-lieb,drama,0.04893678370932703,0.17856560689505685,0.47915732620865337,0.03825446535039744,0.5606993951045636,0.05204382236964959,0.25103016882627815,0.05977436380309536,0.04187991938590555,0.3178829807145902,0.6548303674971211
weber-wihnachtsstimme,tale,0.10546633360339387,0.15154605456976714,0.47861061494429685,0.08490556176616901,0.5535016318260132,0.12603731041456076,0.21170676046662867,0.11567897732833655,0.07654876036031431,0.22644114354339165,0.5821062231473683
weber-yo-yo,comedy,0.04763046081003625,0.1395321733842197,0.5345749717377019,0.06228735343209763,0.5404448642714769,0.08508209610529878,0.3019955310001899,0.07621815619260634,0.0727730882757138,0.1677414718721928,0.6251029227235324
weigel-in-dr-awril-gschickt,comedy,0.08582706588911168,0.13613476778584455,0.5242673047100176,0.037731515132931305,0.5481302378361365,0.09257405216379347,0.2765552257522582,0.047981550928355286,0.04152304142478273,0.18359187595830304,0.6199767606222542
z-nacht-am-zehne,comedy,0.09553686124683988,0.29340936819551344,0.4137887864001087,0.04913065230324934,0.44755236588299185,0.1793325542354628,0.1384659309307415,0.09372421014797838,0.07126402781595037,0.1044091814686124,0.5093041915314337
zwei-erfindunge,comedy,0.09552918774473727,0.08295394891577412,0.4761912600161958,0.10159302387448614,0.5722101457758457,0.156038105704273,0.11501895278019565,0.035076591012558916,0.03961270114389049,0.1299950851061167,0.5836453829644395
