shortName,drama_type,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
gunther-dr-cousin-refractaire,comedy,0.362753839212313,0.3005650591216729,0.33668110166601406,0.0891170688672622,0.08594797395928655,0.09402057371651086,0.23235570291809438,0.08066744338656379,0.05983717612569748,0.2165818806875515,0.14147218033903317
hahn-jungi-madamme,comedy,0.37397596709830777,0.29799637353223485,0.3280276593694575,0.06594577324876534,0.0708170131587577,0.057516176822777744,0.2779633004785883,0.05384991055302291,0.05445174373494686,0.2576873045779709,0.16176877742517018
hans-dich-hats,comedy,0.36072139558167093,0.2907251304118515,0.3485534740064777,0.09446579543245937,0.06047834339614172,0.11625437647634763,0.2159174885977484,0.040544076628715744,0.05010283675526085,0.22113694525400177,0.20110013745932465
hart-dr-poetisch-oscar,comedy,0.37831078313162597,0.28927804690639186,0.3324111699619823,0.07421203168707437,0.06732495405995949,0.06850831640250649,0.2626903154035395,0.06554199728518453,0.061516441524510086,0.22091266718402766,0.17929327645319787
horsch-d-madam-fahrt-velo,comedy,0.35802793719594456,0.30737127692777455,0.3346007858762809,0.07666488020303845,0.06836323060508123,0.07119565682076744,0.24929400439385455,0.08377776730593334,0.053758317259100345,0.23046557727740544,0.16648056613481918
horsch-neui-hosse,comedy,0.3649272055862703,0.3029625894110272,0.33211020500270244,0.07136974713729063,0.0709122380488924,0.09244876955569273,0.22306148809377824,0.0723914960816657,0.06638763580057655,0.25157317794088613,0.15185544734121764
huck-a-gelungener-patient,comedy,0.33293404070961896,0.31636497276552,0.35070098652486104,0.09943183202317661,0.07765401995822441,0.10952452205355673,0.18543567337913947,0.10178303651325371,0.0408713119383379,0.32139361682626677,0.06390598730804437
im-gretele-sine-kunstler,comedy,0.3461196217979899,0.29399569304027967,0.3598846851617305,0.15690141479804706,0.1295766239647206,0.18158068660518129,0.145579677267969,0.05278349640197231,0.05583492098411182,0.17046116590154933,0.10728201407644868
im-julie-si-gheimniss,comedy,0.3541981760715085,0.29637419229407597,0.34942763163441554,0.1377259132928105,0.09174352321732146,0.15780625083154398,0.17049111517786886,0.05420242443840582,0.047025459237505056,0.22141563324903252,0.11958968055551172
in-dr-falle,comedy,0.3578756267332398,0.29349367904268725,0.3486306942240729,0.11841402379365287,0.11189826053641874,0.17479386181543594,0.15223396309041795,0.05038191535522695,0.03862375621615837,0.21055351117781818,0.14310070801487101
jost-d-satisfaction,comedy,0.3430713776248106,0.3187903516975372,0.3381382706776521,0.0985739690813793,0.058863420102551765,0.1400071274113489,0.22080705310202214,0.09299062321218389,0.060136570801261585,0.18991693903411247,0.1387042972551399
jost-daa-im-narrehuss,comedy,0.34108708276648103,0.31980634982089956,0.3391065674126194,0.13312821540224135,0.1105681950116936,0.13600206559555403,0.1774658290647273,0.08468877617369305,0.05545272294178854,0.19119758855360042,0.1114966072567018
jost-dr-erscht-handel,comedy,0.3679999050253402,0.29385159651700554,0.33814849845765427,0.07214028122383523,0.07693635956076121,0.08432467032634494,0.26220476034009804,0.07675680493831431,0.06293367598051157,0.22053467449425623,0.1441687731358784
jost-e-dienschtbott-wurd-gsuecht,comedy,0.3643952304851757,0.29593450178923014,0.3396702677255943,0.07930622788546932,0.06248642989600135,0.08278536113208698,0.2513073991116055,0.06925491437140513,0.05703082893637716,0.26904228717247747,0.12878655149457705
jost-so-e-liederlicher-frack,comedy,0.3486768175455142,0.31188396432072957,0.3394392181337562,0.09627335451265978,0.07178034162500894,0.11516549433442916,0.19411221531128559,0.1074042140251769,0.06470116992693443,0.2133324141126226,0.13723079615188266
kettner-uff-dr-hochzittsreis,comedy,0.3650181687853831,0.30762489479254745,0.3273569364220693,0.09098292923297618,0.05258554158042011,0.08082388874929408,0.25310013624496047,0.0772502275244613,0.07320850516986833,0.20486470500048007,0.16718406649753928
kleisecker-dr-schnider-von-gambse,comedy,0.3535448906201711,0.3132556842015801,0.33319942517824885,0.08056561669363023,0.06284266211295099,0.10744287658176632,0.22133963788718367,0.08518295137301725,0.07197186111176915,0.22340674833648191,0.1472476459032005
kuehne-bureaukrate,comedy,0.3398098395864942,0.32019148407664944,0.33999867633685643,0.12338586404096752,0.051841111075397725,0.10727615571323912,0.21732738405468474,0.053591175582411506,0.05910319343819707,0.23564710422128787,0.15182801187381453
lasch-dr-babbler,comedy,0.37298406405834594,0.29053646040543685,0.33647947553621715,0.07105823399734028,0.05952693352615706,0.09240981113851504,0.2095599894799268,0.07996360636554577,0.08700056588198549,0.2231251660425906,0.17735569356793904
milhuser-bilder,comedy,0.36019557326636364,0.28720807288740663,0.3525963538462298,0.10541246560803147,0.09382374290745776,0.11895535625438579,0.22155011289475193,0.04801927094502741,0.038942741901318696,0.2121182374665302,0.16117807202249682
ne-hiroth-dur-d-extrapost,comedy,0.3562519429867772,0.29970904178051455,0.3440390152327083,0.14570138674276575,0.06065765899034195,0.15669769860519034,0.2236234157300529,0.04289737909467107,0.05605595129802925,0.17802007781056584,0.13634643172838287
ne-jumpfre-wo-nitt-hirothe-will,comedy,0.35463666915751074,0.29575761860773886,0.3496057122347504,0.19600682272742967,0.0756190712101359,0.11540399152306499,0.21356438435667946,0.03918007735511638,0.031630899793283415,0.21829725230311645,0.11029750073117378
ne-scandal,comedy,0.3443061664437377,0.3130398183904812,0.34265401516578103,0.1432505074165196,0.06102037682423615,0.13343072139490536,0.1543273665996993,0.08180806328586915,0.051394511594819156,0.19796425183782093,0.17680420104613032
riff-d-schloofere,comedy,0.38339673299034455,0.27334601354113475,0.34325725346852076,0.06280975897634514,0.07312929057117099,0.08424021301693925,0.3398592930262769,0.07396989387621122,0.05869253971587512,0.19022564532581698,0.11707336549136446
riff-dr-hasestrickler,comedy,0.34635435474636095,0.3279908325192412,0.3256548127343979,0.11174787711315645,0.07533281424677392,0.11105824507898175,0.2579027378767352,0.05776679256541906,0.07001126487466541,0.17122863829261734,0.1449516299516509
riff-s-paradies,comedy,0.3678473712725557,0.3115029651835149,0.32064966354392943,0.08383621555763354,0.07276892244213781,0.0753987283638403,0.32923714168337004,0.05681998201122304,0.08500474409510071,0.1910558429031493,0.1058784229435452
riff-sainte-barbe,comedy,0.3555021709653593,0.3133706262985954,0.3311272027360453,0.06979733986952093,0.06956911629678558,0.0972890363729644,0.2723802604714082,0.05656470116209688,0.11998765804983282,0.1787749904875672,0.13563689728982406
schneegans-steckelburjer-universite-saaue,comedy,0.37454314966052216,0.2903391512353189,0.3351176991041589,0.05501475379253338,0.06266361315822798,0.06607868936317392,0.2741746911528705,0.055876005208886644,0.05301370149451701,0.25942866737722886,0.17374987845256176
sengelin-d-mamsell-elis,comedy,0.35477120215432745,0.31523392192453115,0.32999487592114146,0.1087774227062151,0.0862860590817363,0.09723627335937123,0.2141499315174532,0.06088830008865407,0.07172326604307265,0.21637127339464743,0.14456747380884988
stoskopf-dr-herr-maire,comedy,0.370788996336803,0.29289682670916073,0.33631417695403626,0.07092332970781547,0.07001108624958298,0.1009967315721463,0.29812453354737267,0.06879620400225658,0.04472609580488371,0.20406691126106868,0.14235510785487368
stoskopf-dr-hoflieferant,comedy,0.36036298849173787,0.3059251662327171,0.333711845275545,0.08447863389713708,0.07603345336266475,0.0841886320811853,0.24682674999766224,0.07463348053098948,0.06643345927946914,0.22540794620357668,0.14199764464731532
stoskopf-e-diplomat,comedy,0.3592068038168019,0.31751793545315443,0.32327526073004353,0.09001094649157791,0.05685878257168615,0.10762776245580319,0.26234491535909316,0.0783863457739777,0.07362693567461671,0.1858631116500867,0.14528120002315836
stoskopf-e-mordsaffar,comedy,0.370569648445596,0.3085852881544118,0.3208450633999922,0.06559298830200645,0.0501589728274235,0.09005271430088556,0.29333877522938767,0.10652005286024972,0.05932011281946374,0.21019291544492358,0.12482346821565975
stoskopf-ins-ropfers-apothek,comedy,0.35565983179465444,0.30694340203285264,0.33739676617249276,0.08437813432580936,0.10735128546447346,0.0913242936810271,0.19885055472441845,0.07647653507212569,0.06953125944155367,0.25094052939926115,0.1211474078913311
stoskopf-wenn-d-fraue-wahle,comedy,0.36756188712580584,0.2956896296129636,0.3367484832612305,0.0746928795117955,0.0964017035143111,0.07227220390413011,0.23062858828481858,0.06972922651913345,0.04907410904876783,0.2614201060050454,0.14578118321199798
