word,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
Spritz,0.4272819971730712,0.509736473994653,0.3215372468445648,0.0,0.0,0.0,0.0,0.0,0.609,0.0,0.0
Schpritze,0.4272819971730712,0.509736473994653,0.3215372468445648,0.0,0.0,0.0,0.0,0.0,0.609,0.0,0.0
spritze,0.4272819971730712,0.509736473994653,0.3215372468445648,0.0,0.0,0.0,0.0,0.0,0.609,0.0,0.0
Schpritz,0.4272819971730712,0.509736473994653,0.3215372468445648,0.0,0.0,0.0,0.0,0.0,0.609,0.0,0.0
Spritzer,0.4272819971730712,0.509736473994653,0.3215372468445648,0.0,0.0,0.0,0.0,0.0,0.609,0.0,0.0
spitze,0.149,0.545,0.436,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0
spitz,0.149,0.545,0.436,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0
spücke,0.149,0.545,0.436,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0
spucken,0.149,0.545,0.436,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0
vrdarwe,0.139382748872565,0.6959294272059481,0.3147654977451302,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0
verdärwe,0.139382748872565,0.6959294272059481,0.3147654977451302,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0
Verdarwa,0.139382748872565,0.6959294272059481,0.3147654977451302,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0
verderben,0.139382748872565,0.6959294272059481,0.3147654977451302,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0
verdirb,0.2001126925361115,0.4661391827745706,0.2778311496262905,0.0,0.789,0.0,0.0,0.5281179676336027,0.0,0.0,0.0
verdarwa,0.139382748872565,0.6959294272059481,0.3147654977451302,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0
Verderb,0.139382748872565,0.6959294272059481,0.3147654977451302,0.0,0.617,0.0,0.0,0.0,0.0,0.0,0.0
Vrstand,0.7543062608133073,0.3721223486062517,0.6101052771545744,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
verschtande,0.7543062608133073,0.3721223486062517,0.6101052771545744,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
Verstande,0.7543062608133073,0.3721223486062517,0.6101052771545744,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
verschtändig,0.7543062608133073,0.3721223486062517,0.6101052771545744,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
verstand,0.7543062608133073,0.3721223486062517,0.6101052771545744,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
Verstand,0.7543062608133073,0.3721223486062517,0.6101052771545744,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
Verstanden,0.7543062608133073,0.3721223486062517,0.6101052771545744,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
altjumpfer,0.357,0.368,0.345,0.0,0.0,0.25,0.0,0.4000000000000001,0.0,0.0,0.0
Jungfre,0.357,0.368,0.345,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.0
Jungfere,0.357,0.368,0.345,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.0
