drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(fir sich)
Allons... jetz nimmt er ne fir mi Oncle!
",14,3,0.486174002154469,0.21428571428571427
unknown,Herr GIGELE,M,,,"Herr Gigele.
Ah çà... was hàn Sie mit mir, junger Mensch?
",11,2,0.6200489425779309,0.18181818181818182
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld.
Eh... ich bi dr Herr Ungeduld !
",8,5,0.5013531229577454,0.625
unknown,Herr GIGELE,M,,,"Herr Gigele.
Wer isch das, dr Herr Ungeduld ?
",8,3,0.47337850739010956,0.375
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld.
Ihre Nièce wird's Ene scho g'sàit ha... dà, wo-n-ere dr
                        Hof macht... fir dr bon motif!
",21,5,0.5071075124793935,0.23809523809523808
unknown,Herr GIGELE,M,,,"Herr Gigele.
Fir dr bon motif... in ere g'hirothene Fraü!
",10,2,0.5002597037294592,0.2
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld.
G'hirothe?...
",3,2,0.4207132851623788,0.6666666666666666
unknown,Herr GIGELE,M,,,"Herr Gigele.
Ne Fraü mit zwei Kinder!
",7,2,0.6928238875551909,0.2857142857142857
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld.
Worum nitt gar.. Sie sin glaüb g'schittelt!
",9,3,0.5569424824275983,0.3333333333333333
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(lislig zum Herr Ungeduld)
Herr Ungdeuld, ich bitt Se drum, mache Se kei Scene...
",18,5,0.4654073234814081,0.2777777777777778
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld
(lislig züer Jumpfer Fingerhüet)
Do isch ebbes nitt recht, expliziert Se sich... un
                        gli... sunscht...
",19,4,0.5241038290623377,0.21052631578947367
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Ich ka jo awer nitt.
",7,1,0.6149010952367124,0.14285714285714285
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld.
Sie will nitt?... güet... so gang i wieder
",10,3,0.5636875815921604,0.3
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(kehrt si um)
Herr Ungeduld !
",9,3,0.4854425551871567,0.3333333333333333
unknown,Herr GIGELE,M,,,"Herr Gigele
(fir sich)
Se rieft ne z'ruck!
",11,3,0.43588062264479294,0.2727272727272727
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Ich weiss eigentlig nitt, worum ass ich mich sott
                        sacrifiziere lo fir Andere... erstens isch dà Herr mi
                        Oncle nitt... un zweitens bin ich noch mit nieme
                        g'hirothe gsi!...
",31,4,0.4733095478720924,0.12903225806451613
unknown,Herr GIGELE,M,,,"Herr Gigele.
Se-n-isch d'Fraü nitt vo mim Neveu?
",11,1,0.578708951845571,0.09090909090909091
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld.
Si Fraü?... si Neveu?...
",6,2,0.4207132851623788,0.3333333333333333
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Nitt im G'ringste!
",5,1,0.6149010952367124,0.2
unknown,Herr GIGELE,M,,,"Herr Gigele.
Un er isch nitt g'hirothe?
",7,1,0.578708951845571,0.14285714285714285
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Doch, doch... ich sag das nitt... awer mit ere-n-
                        Andere.
",13,1,0.6149010952367124,0.07692307692307693
unknown,Herr GIGELE,M,,,"Herr Gigele.
Mit ere-n-Andere?
",6,1,0.578708951845571,0.16666666666666666
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld
(lislig züer Jumpfer Fingerhüet)
Mit wem denn... mit wem?
",13,3,0.4854425551871567,0.23076923076923078
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(lislig)
Mit dr Fraü Strumpf... sage Se nur wie-n-ich... ich will
                        se glich geh preveniere...
",21,2,0.5219505476183562,0.09523809523809523
